sample_id,b1_mae,b1_rmse,b1_d1,b1_px,b2_mae,b2_rmse,b2_d1,b2_px,b3_mae,b3_rmse,b3_d1,b3_px,b4_mae,b4_rmse,b4_d1,b4_px,b5_mae,b5_rmse,b5_d1,b5_px,b6_mae,b6_rmse,b6_d1,b6_px,all_mae,all_rmse,all_d1,all_px
environment_1/02736,2.090954,2.745894,0.049024,12198,0.611637,1.053199,0.767266,33012,1.570421,2.042746,0.478407,16348,3.141507,3.50535,0.213117,6175,6.333475,7.027083,0.12592,9244,10.25762,10.766252,0.016924,4018,2.352375,3.840909,0.448126,80995
environment_1/02737,0.750554,1.839966,0.178489,21738,0.845513,1.674399,0.758912,24659,0.701625,1.271195,0.794901,10668,1.825239,2.687552,0.605656,6966,4.086155,5.316529,0.402326,10146,8.792455,10.311364,0.239302,4931,1.797269,3.593161,0.512654,79108
environment_1/02738,1.314619,2.871358,0.581858,25697,0.869497,1.7973,0.762778,21971,0.778994,1.402563,0.787246,10350,2.107232,2.924449,0.557244,10001,2.865182,4.083006,0.599097,9748,6.367554,8.093535,0.371582,4462,1.68267,3.202844,0.64369,82229
environment_1/02739,0.864262,2.621671,0.692089,39716,0.827796,1.566497,0.727799,6565,2.026278,3.040142,0.57423,14839,3.418354,4.46856,0.394852,8198,5.489148,6.753721,0.299108,8522,11.600876,12.541166,0.07561,3399,2.265673,4.315903,0.576435,81239
environment_1/02740,0.115502,0.123005,0.016727,37962,0.282938,0.939103,0.921437,5346,0.917682,1.921047,0.802034,10325,1.086876,1.994403,0.827259,8753,3.050529,4.496756,0.575213,10796,7.387056,9.140287,0.294631,4694,1.18771,2.973751,0.368226,77876
environment_1/02741,0.714812,0.842209,0.165002,2103,0.323214,0.7289,0.84571,13170,0.589943,1.065109,0.850861,25037,0.956846,1.485691,0.801416,12856,1.935379,2.792291,0.677355,14065,4.971048,6.40977,0.414755,7238,1.289572,2.518397,0.746888,74469
environment_1/02742,1.955315,1.960421,0.0,195,0.307137,0.672628,0.91356,16763,0.649473,1.081875,0.806562,25083,1.193777,1.8893,0.748318,15011,2.335083,3.398356,0.611025,11610,5.516973,7.258824,0.435268,6187,1.349172,2.71407,0.755722,74849
environment_1/02743,0.433105,0.468708,0.578871,4127,0.647736,1.146698,0.734315,19350,0.516961,1.04302,0.877666,20820,0.982663,1.593184,0.797264,13890,2.586847,3.70786,0.564765,12885,5.670654,7.563284,0.424281,4761,1.30633,2.653008,0.728469,75833
environment_1/02744,3.024026,3.029278,0.0,379,0.672899,1.293974,0.767714,14551,0.740683,1.349246,0.820201,28810,1.71626,2.378949,0.562043,11629,3.281649,4.186248,0.449246,13999,6.353528,7.819368,0.337712,5253,1.762906,3.090267,0.662012,74621
environment_1/02745,0.618472,0.651944,0.538462,39,1.560871,2.835029,0.628865,30563,1.047447,1.475216,0.697286,13303,2.698344,3.351172,0.458778,16023,4.873874,5.784189,0.298787,9234,10.423188,11.133849,0.073081,4064,2.625624,4.160102,0.53156,73226
